DOCK7	autosomal recessive
SLC7A14	autosomal recessive
OTULIN	autosomal dominant|autosomal recessive
PLD3	autosomal dominant
HFM1	autosomal recessive
ERCC6L2	autosomal recessive
NCAPD2	autosomal recessive
CDIN1	autosomal recessive
COA7	autosomal recessive
KPTN	autosomal recessive
POGLUT1	autosomal dominant|autosomal recessive
CLPX	autosomal dominant
NUP188	autosomal recessive
CEP19	autosomal recessive
SLC38A8	autosomal recessive
FAM111B	autosomal dominant
COQ8B	autosomal recessive
SFXN4	autosomal recessive
ARMC5	autosomal dominant, somatic mutation
SYNE4	autosomal recessive
TIMMDC1	autosomal recessive
TMEM126B	autosomal recessive
ERMARD	autosomal dominant
STAC3	autosomal recessive
MIEF2	autosomal recessive
MIEF1	autosomal dominant
AGBL1	autosomal dominant
GMPPA	autosomal recessive
CFAP298	autosomal recessive
DDX59	autosomal recessive
SZT2	autosomal recessive
DYNC2I1	autosomal recessive
ELMOD3	autosomal dominant|autosomal recessive
TRMT10C	autosomal recessive
PRIMPOL	autosomal dominant
BHLHA9	autosomal recessive
MRAP2	autosomal dominant
ODAD2	autosomal recessive
ARL2BP	autosomal recessive
TM4SF20	autosomal dominant
THOC6	autosomal recessive
SPIDR	autosomal recessive
ANKS6	autosomal recessive
AK7	autosomal recessive
AK9	autosomal recessive
LRIF1	digenic, recessive
MYMK	autosomal recessive
KLHL40	autosomal recessive
IRF2BP2	autosomal dominant
EXOC2	autosomal recessive
NRROS	autosomal recessive
GMPPB	autosomal recessive
ISCA2	autosomal recessive
IBA57	autosomal recessive
ADAT3	autosomal recessive
FAM111A	autosomal dominant
B3GALT6	autosomal recessive
DRC1	autosomal recessive
EXOC8	autosomal recessive
CERS3	autosomal recessive
METTL23	autosomal recessive
POMK	autosomal recessive
SMIM1	autosomal recessive
KCNU1	autosomal recessive
ATP5MK	autosomal recessive
PGAP2	autosomal recessive
TLCD3B	autosomal recessive
C12orf57	autosomal recessive
ASXL3	autosomal dominant
TUBB6	autosomal dominant
TUBB2A	autosomal dominant
MGME1	autosomal recessive
EPG5	autosomal recessive
ASB10	autosomal dominant
WAC	autosomal dominant
TANC2	autosomal dominant
ODAD1	autosomal recessive
OR2J3	autosomal dominant
LRIT3	autosomal recessive
DDHD2	autosomal recessive
TECPR2	autosomal recessive
GATAD2B	autosomal dominant
EPS8L3	autosomal dominant
EPS8L2	autosomal recessive
DHTKD1	autosomal dominant|autosomal recessive
SMCHD1	autosomal dominant|digenic, dominant
SLFN14	autosomal dominant
HEATR3	autosomal recessive
TMEM231	autosomal recessive
TAMM41	autosomal recessive
DNAAF11	autosomal recessive
OTOGL	autosomal recessive
PTCD3	autosomal recessive
RMND1	autosomal recessive
HIKESHI	autosomal recessive
BCKDK	autosomal recessive
AAGAB	autosomal dominant
VWA3B	autosomal recessive
DNAAF5	autosomal recessive
CEP164	autosomal recessive
ODAPH	autosomal recessive
POMGNT2	autosomal recessive
REPS1	autosomal recessive
EOGT	autosomal recessive
POGZ	autosomal dominant
MFF	autosomal recessive
POC1B	autosomal recessive
POC1A	autosomal recessive
SNX10	autosomal recessive
SIK3	autosomal recessive
COA3	autosomal recessive
COA6	autosomal recessive
PET117	autosomal recessive
PET100	autosomal recessive
CFAP53	autosomal recessive
IFITM5	autosomal dominant
MPC1	autosomal recessive
PIGO	autosomal recessive
TMEM165	autosomal recessive
SERAC1	autosomal recessive
CEP63	autosomal recessive
CDK19	autosomal dominant
KNSTRN	digenic recessive
SCUBE3	autosomal recessive
COX20	autosomal recessive
PHYKPL	autosomal recessive
CCDC103	autosomal recessive
MTO1	autosomal recessive
CCDC78	autosomal dominant
PATL2	autosomal recessive
RNF170	autosomal dominant|autosomal recessive
COQ6	autosomal recessive
MYO1H	autosomal recessive
UVSSA	autosomal recessive
CRPPA	autosomal recessive
IFT140	autosomal recessive
KANK2	autosomal recessive
FOCAD	autosomal recessive
DDHD1	autosomal recessive
CEACAM16	autosomal dominant|autosomal recessive
SKIC3	autosomal recessive
FDX2	autosomal recessive
P4HTM	autosomal recessive
ROGDI	autosomal recessive
CPLANE1	autosomal recessive
DIAPH3	autosomal dominant
DNAAF3	autosomal recessive
ARID1B	autosomal dominant
EMC10	autosomal recessive
LRMDA	autosomal recessive
ZSWIM7	autosomal recessive
NDUFA12	autosomal recessive
GATAD1	autosomal recessive
GPR179	autosomal recessive
TOR1AIP1	autosomal recessive
MDFIC	autosomal recessive
BRAT1	autosomal recessive
FKBP14	autosomal recessive
MCAT	autosomal recessive
COX14	autosomal recessive
CFAP418	autosomal recessive
THSD4	autosomal dominant
UQCC2	autosomal recessive
TMEM138	autosomal recessive
UBE3C	autosomal recessive
ATAD1	autosomal recessive
TSHZ1	autosomal dominant
TTI2	autosomal recessive
TTI1	autosomal recessive
TMEM237	autosomal recessive
RHBDF2	autosomal dominant
MFSD2A	autosomal recessive
ZNF526	autosomal recessive
PRRT2	autosomal dominant
POLR3B	autosomal dominant|autosomal recessive
NUP205	autosomal recessive
NUP93	autosomal recessive
PAM16	autosomal recessive
ZMYND15	autosomal recessive
C19orf12	autosomal recessive|autosomal recessive, autosomal dominant
BICC1	autosomal dominant
ESAM	autosomal recessive
CFAP65	autosomal recessive
C9orf72	autosomal dominant
POLR3A	autosomal recessive
NAA60	autosomal recessive
ACSF3	autosomal recessive
OPLAH	autosomal recessive, autosomal dominant
PDZD8	autosomal recessive
HSD11B2	autosomal recessive
WDR81	autosomal recessive
ASCC3	autosomal recessive
ASCC1	autosomal recessive
DOCK6	autosomal recessive
DEPDC5	autosomal recessive|autosomal dominant
DIS3L2	autosomal recessive
NBEAL2	autosomal recessive
PCK1	autosomal recessive
PRDM5	autosomal recessive
ZNF644	autosomal dominant
NOP56	autosomal dominant
RFWD3	autosomal recessive
PKDCC	autosomal recessive
CCDC8	autosomal recessive
B9D1	autosomal recessive
TRIM2	autosomal recessive
SPECC1L	autosomal dominant
TRAPPC12	autosomal recessive
TRAPPC11	autosomal recessive
TMCO1	autosomal recessive
KPNA7	autosomal recessive
MLIP	autosomal recessive
PCK2	autosomal recessive, also a cytosolic form (261680)
RILPL1	autosomal dominant
MCIDAS	autosomal recessive
WEE2	autosomal recessive
MYZAP	autosomal recessive
IFT43	autosomal recessive
ZBTB24	autosomal recessive
CDC42BPB	autosomal dominant
KHK	autosomal recessive
RB1	somatic mutation|autosomal dominant, somatic mutation|autosomal dominant
DAGLA	autosomal dominant
BPNT2	autosomal recessive
FANCD2	autosomal recessive
PRPF6	autosomal dominant
FANCE	autosomal recessive
SUN5	autosomal recessive
AFG2A	autosomal recessive
TNNI3K	autosomal dominant
TOE1	autosomal recessive
C2	digenic dominant|autosomal recessive
LIPN	autosomal recessive
COA5	autosomal recessive
ZBTB42	autosomal recessive
TGM6	autosomal dominant
FANCC	autosomal recessive with at least two loci and multiple alleles
HMGCL	autosomal recessive
FANCF	autosomal recessive
BPGM	autosomal recessive
DPY19L2	autosomal recessive
UMPS	autosomal recessive
HSD3B2	autosomal recessive
TRH	autosomal recessive
F7	autosomal recessive
F10	autosomal recessive
FAH	autosomal recessive
PLAAT3	autosomal recessive
PRSS56	autosomal recessive
TCTN3	autosomal recessive
TCTN2	autosomal recessive
UQCRH	autosomal recessive
GZF1	autosomal recessive
UBR7	autosomal recessive
CYP21A2	autosomal recessive
TTC19	autosomal recessive
CCDC40	autosomal recessive
CCDC39	autosomal recessive
C1R	autosomal dominant
CAMSAP1	autosomal recessive
RNF213	autosomal dominant, autosomal recessive
G6PC1	autosomal recessive
PYGL	autosomal recessive
CCDC115	autosomal recessive
MEN1	autosomal dominant
KBTBD13	autosomal dominant
ANO10	autosomal recessive
MSRB3	autosomal recessive
POLR1D	autosomal dominant, autosomal recessive
SLC25A20	autosomal recessive
MTPAP	autosomal recessive
SOBP	autosomal recessive
ALG11	autosomal recessive
ACKR1	autosomal dominant, autosomal recessive (null phenotype)|autosomal recessive
SHQ1	autosomal recessive
KCNK18	autosomal dominant
AP5Z1	autosomal recessive
EIF2AK1	autosomal dominant
PIEZO2	autosomal dominant|autosomal recessive
FOXRED1	autosomal recessive
NUBPL	autosomal recessive
SCARF2	autosomal recessive
HFE	autosomal recessive
BBIP1	autosomal recessive
WDR35	autosomal recessive
ABHD12	autosomal recessive
ZNF513	autosomal recessive
HOGA1	autosomal recessive
FAM161A	autosomal recessive
TMEM147	autosomal recessive
WDR62	autosomal recessive
WDPCP	autosomal recessive
TBC1D24	autosomal dominant|autosomal recessive
TET3	autosomal dominant, autosomal recessive
XPNPEP3	autosomal recessive
MTRFR	autosomal recessive
SPTSSA	autosomal dominant
FAN1	autosomal recessive
CEP152	autosomal recessive
SDCCAG8	autosomal recessive
OPN1SW	autosomal dominant (7q31.3-q32)
UROD	autosomal dominant, autosomal recessive
RUBCN	autosomal recessive
LIPA	autosomal recessive
SPEN	autosomal dominant
CCDC62	autosomal recessive
HPSE2	autosomal recessive
ASAH1	autosomal recessive
MIA3	autosomal recessive
CEP120	autosomal recessive
TCN2	autosomal recessive
FCHO1	autosomal recessive
PCARE	autosomal recessive
KCTD1	autosomal dominant
TMEM106B	autosomal dominant
LACC1	autosomal recessive
MIR2861	autosomal dominant, autosomal recessive
TMEM127	autosomal dominant
VIPAS39	autosomal recessive
AVIL	autosomal recessive
POMP	autosomal recessive|autosomal dominant
CBS	autosomal recessive
YEATS2	autosomal dominant
DYNC2I2	autosomal recessive
DRAM2	autosomal recessive
TPRN	autosomal recessive
RSRC1	autosomal recessive
SLC52A3	autosomal recessive
OAT	autosomal recessive
KIAA1549	autosomal recessive
DPYS	autosomal recessive
LYRM4	autosomal recessive
ALKBH8	autosomal recessive
FEZF1	autosomal recessive
MARCHF6	autosomal dominant
UBA2	autosomal dominant
SH3PXD2B	autosomal recessive
ATXN8	autosomal dominant
GRXCR1	autosomal recessive
ZC3H14	autosomal recessive
SLX4	autosomal recessive
TMEM216	autosomal recessive
USB1	autosomal recessive
MOCOS	autosomal recessive
PPP1R15B	autosomal recessive
PLIN4	autosomal dominant
KCNJ18	autosomal dominant
KIF26A	autosomal recessive
PEPD	autosomal recessive
AGA	autosomal recessive
CYB5A	autosomal recessive
WDR72	autosomal recessive
CYB5R3	autosomal recessive
XPC	autosomal recessive
DNAAF1	autosomal recessive
BOLA3	autosomal recessive
SMG9	autosomal recessive
SMG8	autosomal recessive
RBM20	autosomal dominant
KLHDC8B	autosomal recessive
SERPINF2	autosomal recessive
CANT1	autosomal recessive
VWF	autosomal dominant|autosomal recessive|autosomal dominant, autosomal recessive
MIR184	autosomal dominant
TSPAN12	autosomal dominant
CTC1	autosomal recessive
STN1	autosomal recessive
NEXN	autosomal dominant
RETREG1	autosomal recessive
NF1	autosomal dominant, somatic mutation|autosomal dominant
CTSA	autosomal recessive
GM2A	autosomal recessive
MYT1L	autosomal dominant
LOXHD1	autosomal recessive
INPP5E	autosomal recessive
PMPCA	autosomal recessive
OGDH	autosomal recessive
SDHAF2	autosomal dominant
TAT	autosomal recessive
UROC1	autosomal recessive
SEPSECS	autosomal recessive
HTT	autosomal dominant|autosomal recessive
RAB28	autosomal recessive
ASXL2	autosomal dominant
ASXL1	autosomal dominant
TMEM126A	autosomal recessive
PDZD7	autosomal recessive|autosomal recessive, digenic dominant (see miscellaneous)
ESRP1	autosomal recessive
TACO1	autosomal recessive
RNASET2	autosomal recessive
PGAM2	autosomal recessive
TSPEAR	autosomal recessive
